id,car_make,car_model,car_year,fuel_type,average_consumption
708,Isuzu,Hombre,2000,3,14
709,Mitsubishi,Pajero,1984,2,13
710,Aptera,Typ-1,2008,1,8
711,Dodge,Ram Van 2500,2003,2,7
712,Chevrolet,Cobalt,2006,3,12
713,Mazda,B-Series,1995,2,16
714,Dodge,Durango,2007,2,10
715,Chevrolet,S10,1996,3,9
716,Dodge,Ram Wagon B250,1992,1,7
717,BMW,5 Series,1999,2,16
718,Cadillac,Escalade,2004,1,16
719,Honda,CR-V,2003,1,12
720,Plymouth,Laser,1992,3,10
721,Pontiac,6000,1984,3,12
722,Ford,Aerostar,1992,1,10
723,Dodge,Ramcharger,1993,1,11
724,Mitsubishi,Diamante,2004,3,11
725,Chevrolet,Express 1500,2007,3,14
726,Hyundai,Accent,2006,2,7
727,Ford,Club Wagon,1997,1,12
728,Volvo,V40,2001,3,16
729,Land Rover,Range Rover,1989,2,9
730,Mitsubishi,3000GT,1997,3,14
731,Chevrolet,Avalanche 1500,2004,2,12
732,Land Rover,Discovery,2012,2,10
733,Audi,S6,2003,3,10
734,Hyundai,Sonata,1998,3,11
735,Mazda,Tribute,2006,3,8
736,Lexus,RX,2008,2,12
737,Volvo,S70,2000,3,15
738,BMW,M3,2004,1,9
739,Mercedes-Benz,SL-Class,2006,2,11
740,Chevrolet,Colorado,2005,2,8
741,Suzuki,SJ,1991,3,11
742,Hyundai,Santa Fe,2009,1,7
743,Nissan,Cube,2009,1,15
744,GMC,Suburban 1500,1998,1,7
745,GMC,1500 Club Coupe,1997,3,14
746,Mitsubishi,Eclipse,1997,2,11
747,Geo,Metro,1996,2,16
748,Toyota,RAV4,2012,1,13
749,Honda,Accord,1996,2,14
750,Buick,Estate,1989,1,14
751,BMW,M5,2002,3,11
752,Cadillac,Escalade ESV,2004,3,16
753,Ford,E-Series,1995,3,10
754,Ford,Econoline E350,1996,2,14
755,Chevrolet,Blazer,1992,3,15
756,Chevrolet,HHR,2010,3,11
757,Saturn,L-Series,2005,2,16
758,Nissan,Frontier,2000,1,15
759,Mitsubishi,Montero,2000,3,10
760,Land Rover,Defender 90,1997,1,12
761,Pontiac,Sunbird,1991,2,13
762,BMW,525,2006,3,13
763,Chevrolet,Astro,2002,1,14
764,MINI,Cooper,2002,2,8
765,Mercury,Villager,1996,2,7
766,Chevrolet,Lumina,2001,2,7
767,Nissan,Frontier,1999,1,10
768,Subaru,Impreza,1993,1,12
769,Mercury,Mystique,1999,2,12
770,Honda,Odyssey,2007,3,14
771,Nissan,Sentra,1995,2,12
772,Mitsubishi,Lancer Evolution,2011,2,16
773,Land Rover,Range Rover,2008,3,7
774,Subaru,Legacy,1995,1,15
775,Honda,S2000,2001,2,9
776,Hyundai,Tiburon,2004,3,15
777,Pontiac,LeMans,1966,1,9
778,Ford,LTD Crown Victoria,1984,1,16
779,Chrysler,Sebring,2007,2,9
780,Ford,Bronco,1991,3,16
781,Nissan,350Z,2004,2,8
782,Dodge,Ram Van 1500,1999,2,7
783,Aston Martin,V8 Vantage S,2012,1,7
784,Pontiac,LeMans,1965,2,11
785,Toyota,Previa,1993,3,16
786,Saturn,Outlook,2007,1,9
787,Chrysler,Cirrus,1999,1,9
788,Honda,Insight,2011,1,16
789,Audi,A6,1997,3,15
790,Land Rover,Range Rover Sport,2007,1,7
791,Audi,A8,2002,1,7
792,Acura,RL,2002,3,13
793,GMC,Suburban 1500,1998,2,8
794,Hyundai,Accent,1997,3,16
795,Lexus,RX,2006,1,9
796,Nissan,Pathfinder,1992,3,15
797,Ford,Expedition,2009,1,13
798,Hyundai,Elantra,1995,1,10
799,Dodge,Shadow,1994,2,12
800,Bentley,Continental,2012,3,14
801,Dodge,Durango,2009,3,13
802,Volvo,S70,2000,2,12
803,Mitsubishi,Pajero,2005,3,12
804,Chevrolet,Suburban 1500,2003,1,10
805,Volvo,S80,2009,1,14
806,BMW,7 Series,1995,3,14
807,Ford,Expedition EL,2009,2,14
808,Jeep,Compass,2007,1,15
809,Audi,5000S,1987,2,14
810,Ford,Thunderbird,2004,3,13
811,Mercedes-Benz,CL-Class,2003,2,9
812,GMC,Sierra 2500,2006,3,11
813,Audi,riolet,1996,3,13
814,Ford,GT500,2008,3,8
815,Pontiac,6000,1986,2,12
816,Ford,Escort,1992,1,9
817,Ford,Explorer,2006,1,10
818,Buick,Skylark,1998,1,11
819,Kia,Sephia,1994,2,10
820,Oldsmobile,Cutlass Supreme,1996,2,12
821,Mitsubishi,Pajero,1989,1,7
822,Ford,Excursion,2005,3,12
823,Ford,F350,2007,3,15
824,Volkswagen,GTI,2004,1,10
825,Mazda,RX-7,1987,1,11
826,Pontiac,Sunbird,1988,2,16
827,Mercury,Marquis,1985,3,11
828,Lexus,RX,2005,1,14
829,Volkswagen,Passat,1998,1,11
830,Bentley,Continental GTC,2009,2,9
831,Acura,RL,2011,1,8
832,Hyundai,Veracruz,2007,2,16
833,Jeep,Cherokee,1999,3,11
834,Nissan,Murano,2005,2,8
835,Ford,Aerostar,1994,3,9
836,Lincoln,MKZ,2007,2,15
837,Toyota,Yaris,2006,2,12
838,Mitsubishi,Eclipse,1994,2,14
839,Mazda,Protege,1999,3,12
840,Volkswagen,R32,2004,3,9
841,Dodge,Ram Van 1500,1998,3,13
842,Volkswagen,Golf,2004,3,16
843,Dodge,Ram Wagon B150,1993,3,13
844,Ford,F-Series Super Duty,2007,1,9
845,Mazda,RX-7,1990,1,9
846,Mercury,Cougar,1993,1,16
847,Mazda,Mazda6,2013,2,10
848,Lexus,RX,2006,1,10
849,Nissan,Maxima,2007,2,13
850,Jaguar,S-Type,2005,2,15
851,Hummer,H3,2008,2,15
852,Mazda,MX-5,1995,3,13
853,Lincoln,Navigator L,2008,3,11
854,Toyota,Matrix,2012,2,10
855,Chevrolet,Tahoe,2010,2,12
856,GMC,Sierra 2500,2001,1,9
857,Volkswagen,Rabbit,2008,1,15
858,Lincoln,Town Car,2005,1,16
859,MINI,Cooper,2006,2,7
860,Jaguar,XJ Series,2004,2,8
861,Mazda,MPV,2006,2,10
862,Ford,F250,2006,1,11
863,Plymouth,Sundance,1993,1,10
864,Dodge,Dakota Club,2002,2,15
865,Mercedes-Benz,C-Class,2002,1,16
866,BMW,525,2006,3,12
867,Pontiac,G3,2009,3,15
868,Chevrolet,Express 1500,2010,2,10
869,BMW,Z4 M,2007,2,9
870,BMW,525,2003,3,15
871,Hyundai,Santa Fe,2007,3,16
872,Toyota,Sequoia,2004,2,14
873,Chrysler,LHS,1999,1,11
874,Ford,F150,2002,2,16
875,Oldsmobile,Cutlass,1997,1,16
876,Chevrolet,Beretta,1993,1,7
877,BMW,Z3,1998,2,13
878,Alfa Romeo,Spider,1993,1,9
879,Chrysler,Cirrus,1999,1,14
880,Suzuki,Samurai,1995,3,15
881,Oldsmobile,Silhouette,2003,1,16
882,GMC,Suburban 1500,1996,1,11
883,Nissan,300ZX,1991,3,14
884,Mazda,MX-5,2000,3,9
885,Toyota,RAV4,2003,2,10
886,Chrysler,Pacifica,2006,3,7
887,Hyundai,Veloster,2012,2,8
888,Buick,Rainier,2007,1,14
889,Ford,Escort,1985,1,9
890,GMC,Savana 1500,2012,2,10
891,Chevrolet,Suburban,2010,2,11
892,Infiniti,FX,2010,1,16
893,Hyundai,Sonata,2013,3,9
894,Subaru,Outback,2010,1,14
895,Land Rover,Range Rover,2011,3,14
896,Kia,Sorento,2008,1,10
897,Acura,CL,2001,3,13
898,Volkswagen,R32,2004,2,16
899,Volkswagen,Eurovan,2000,1,10
900,Nissan,Maxima,2006,1,10
901,Dodge,Viper,2001,2,16
902,Dodge,Ram 2500,2002,2,12
903,Toyota,4Runner,2005,3,7
904,Isuzu,Stylus,1993,1,11
905,Oldsmobile,Ciera,1992,2,10
906,Mercury,Cougar,1994,3,15
907,Land Rover,Discovery Series II,2002,3,9
908,Mazda,B-Series,2006,3,12
909,Land Rover,Range Rover,1993,1,14
910,BMW,M3,2005,2,14
911,Chrysler,Town & Country,1992,2,10
912,GMC,2500,1997,2,7
913,Acura,RDX,2007,1,12
914,GMC,Envoy XL,2005,2,7
915,Hyundai,Sonata,1997,1,12
916,Ford,Escort,1992,2,7
917,Mazda,B-Series,2001,1,14
918,Ford,EXP,1987,1,10
919,Mitsubishi,Pajero,2002,3,11
920,Mitsubishi,Eclipse,2009,3,13
921,BMW,525,2004,2,7
922,McLaren,MP4-12C,2012,2,14
923,Buick,Regal,1996,3,15
924,Toyota,Matrix,2005,1,9
925,Porsche,911,1986,3,8
926,BMW,6 Series,2006,2,9
927,Chevrolet,G-Series 1500,1996,1,9
928,Porsche,Panamera,2011,3,13
929,Maybach,57,2004,1,11
930,Chevrolet,Cavalier,2003,2,16
931,Nissan,NV2500,2012,2,9
932,Pontiac,Torrent,2009,2,12
933,Ford,F-Series,2009,2,9
934,Audi,Q7,2009,2,9
935,Ford,E-Series,2004,1,15
936,Buick,Century,1992,3,12
937,Pontiac,6000,1989,1,16
938,GMC,Jimmy,2000,3,9
939,Lexus,GS,2001,2,15
940,Chevrolet,Beretta,1995,3,11
941,Dodge,Avenger,2009,2,15
942,Mercedes-Benz,CL-Class,2000,2,9
943,Lincoln,Blackwood,2003,3,16
944,Land Rover,Discovery,1995,2,8
945,Dodge,Colt,1992,1,16
946,Volkswagen,Golf III,1993,3,16
947,Dodge,Caravan,1994,2,13
948,Dodge,Charger,2011,2,12
949,Mitsubishi,Excel,1989,3,8
950,Chevrolet,Corvette,1961,2,13
951,Pontiac,Firefly,1989,3,7
952,Mazda,RX-7,1992,2,16
953,Pontiac,GTO,2004,3,11
954,Chevrolet,Cavalier,1998,1,16
955,Ford,Ranger,2000,3,15
956,Mercedes-Benz,G-Class,2006,3,15
957,Ford,F-Series,2002,2,8
958,Infiniti,FX,2006,2,9
959,Lexus,RX,2000,1,7
960,Toyota,Supra,1998,1,9
961,Hillman,Minx Magnificent,1950,3,15
962,Rolls-Royce,Phantom,2006,2,11
963,Cadillac,CTS,2010,1,12
964,Honda,Civic,2012,2,8
965,Lexus,IS,2008,1,12
966,Lotus,Exige,2011,1,12
967,Hyundai,Santa Fe,2009,3,11
968,Chevrolet,S10,1996,1,15
969,Jaguar,S-Type,2006,2,11
970,Oldsmobile,88,1998,2,7
971,GMC,Yukon,1993,2,13
972,Pontiac,Firebird,1997,1,9
973,Ford,Mustang,1971,2,7
974,GMC,Savana 1500,1997,1,11
975,Mercedes-Benz,CL-Class,2001,3,16
976,Volkswagen,Cabriolet,1997,2,13
977,Jaguar,XJ,2011,3,15
978,Mitsubishi,L300,1990,3,9
979,Suzuki,Swift,2001,1,13
980,Audi,200,1990,3,10
981,Maybach,62,2005,3,15
982,Nissan,Pathfinder,1995,2,13
983,Mitsubishi,Truck,1985,3,13
984,Honda,CR-X,1988,1,9
985,Mercedes-Benz,600SEL,1993,1,15
986,Buick,LeSabre,2000,2,16
987,Hummer,H2,2005,1,11
988,Ford,Taurus,1996,2,11
989,Nissan,Altima,2008,1,10
990,Kia,Sportage,2007,2,14
991,BMW,M5,2003,3,16
992,Maybach,57,2006,2,7
993,Mazda,RX-8,2007,3,15
994,BMW,5 Series,2011,1,9
995,Saab,9000,1999,1,11
996,Isuzu,VehiCROSS,2001,1,15
997,Lotus,Elise,2011,3,9
998,Isuzu,Ascender,2009,2,13
999,Saab,9-7X,2005,2,12
1000,Ford,Expedition EL,2007,1,16
